enrollment_id,student_id,course_id,enrollment_date,completion_status
1,73,8,2024-07-28,Active
2,439,18,2025-11-18,Active
3,12,2,2025-11-23,Active
4,300,6,2023-09-25,Active
5,259,16,2024-05-25,Completed
6,268,17,2024-06-27,Active
7,263,4,2026-03-02,Active
8,57,2,2025-05-10,Active
9,1,8,2025-06-11,Active
10,287,3,2025-05-06,Completed
11,202,9,2023-08-25,Active
12,117,8,2026-05-26,Active
13,122,12,2024-08-18,Active
14,418,12,2023-08-29,Completed
15,193,9,2023-12-31,Active
16,297,4,2024-10-23,Dropped
17,9,17,2023-11-18,Active
18,349,5,2023-12-04,Active
19,127,9,2026-04-24,Completed
20,6,12,2023-09-13,Active
21,480,10,2025-11-02,Active
22,463,14,2023-10-08,Active
23,418,6,2025-10-25,Active
24,42,2,2024-09-02,Dropped
25,116,20,2023-12-18,Active
26,190,18,2023-10-05,Dropped
27,220,11,2025-04-30,Active
28,304,14,2024-03-08,Active
29,34,19,2025-11-19,Completed
30,86,8,2024-01-03,Active
31,451,17,2023-12-15,Active
32,239,9,2026-02-01,Active
33,113,12,2025-06-24,Completed
34,153,10,2024-05-08,Completed
35,113,16,2024-04-05,Active
36,492,8,2026-04-19,Active
37,309,14,2024-08-13,Dropped
38,45,19,2025-06-25,Active
39,404,17,2023-09-10,Completed
40,425,16,2024-10-28,Active
41,283,6,2024-03-23,Active
42,428,10,2025-06-26,Completed
43,314,12,2025-06-09,Active
44,143,16,2026-01-21,Completed
45,407,4,2025-08-15,Completed
46,129,12,2026-01-07,Completed
47,272,12,2026-01-14,Active
48,196,15,2026-05-01,Active
49,319,6,2026-02-10,Completed
50,81,3,2025-04-10,Completed
51,487,16,2025-07-06,Active
52,447,19,2026-02-10,Completed
53,465,4,2024-05-31,Active
54,320,16,2025-10-18,Completed
55,362,11,2025-10-06,Active
56,386,13,2025-04-06,Active
57,423,17,2024-05-21,Completed
58,315,1,2024-11-13,Completed
59,455,5,2024-12-26,Active
60,435,17,2025-11-12,Completed
61,250,9,2025-10-22,Completed
62,171,10,2023-12-17,Active
63,179,1,2023-10-12,Active
64,308,5,2025-12-14,Completed
65,341,13,2026-07-13,Completed
66,420,6,2026-03-12,Active
67,249,8,2026-04-13,Dropped
68,433,16,2026-04-26,Active
69,444,13,2026-04-17,Completed
70,175,18,2024-01-05,Completed
71,461,7,2024-08-09,Dropped
72,8,1,2025-02-20,Active
73,125,15,2023-11-07,Active
74,358,10,2024-11-08,Dropped
75,360,9,2026-05-28,Completed
76,283,16,2025-08-28,Completed
77,426,10,2026-03-11,Active
78,331,5,2024-01-09,Completed
79,402,14,2026-01-11,Dropped
80,279,13,2026-02-12,Active
81,295,8,2024-07-30,Active
82,117,14,2024-01-22,Dropped
83,480,5,2024-09-19,Completed
84,153,1,2023-10-23,Completed
85,339,2,2023-08-24,Active
86,167,18,2023-10-23,Active
87,7,13,2024-07-18,Completed
88,60,9,2024-07-14,Completed
89,115,9,2024-08-10,Completed
90,373,17,2026-04-23,Dropped
91,247,1,2025-04-28,Active
92,133,10,2023-09-04,Completed
93,212,13,2025-08-24,Active
94,71,1,2026-03-06,Active
95,296,14,2023-12-31,Active
96,239,18,2025-11-16,Completed
97,398,17,2026-03-31,Active
98,379,4,2023-10-03,Active
99,76,17,2023-09-30,Active
100,27,14,2023-09-15,Active
101,435,1,2023-07-24,Active
102,118,18,2025-06-17,Active
103,66,9,2025-02-24,Active
104,335,4,2024-09-26,Active
105,490,6,2024-01-02,Active
106,46,3,2026-03-10,Active
107,222,8,2025-11-23,Active
108,216,11,2024-03-02,Active
109,191,6,2026-04-18,Completed
110,231,5,2024-09-20,Active
111,425,12,2025-04-23,Active
112,382,11,2025-03-01,Completed
113,24,17,2025-07-18,Active
114,71,6,2025-03-19,Completed
115,40,10,2024-09-02,Active
116,493,11,2025-11-05,Completed
117,23,1,2024-04-21,Dropped
118,100,20,2026-05-27,Active
119,283,10,2024-06-07,Active
120,291,3,2025-12-03,Active
121,326,14,2026-01-01,Active
122,379,5,2025-03-19,Active
123,474,15,2025-01-13,Active
124,157,16,2024-07-25,Active
125,355,18,2024-12-07,Active
126,149,4,2025-10-02,Completed
127,252,8,2026-02-20,Completed
128,69,18,2025-02-16,Active
129,288,8,2025-05-03,Dropped
130,46,9,2025-02-20,Completed
131,168,6,2025-10-15,Active
132,44,2,2025-03-03,Active
133,397,4,2024-01-15,Completed
134,130,11,2026-01-24,Active
135,317,7,2023-12-07,Completed
136,193,17,2024-09-10,Completed
137,390,13,2025-06-19,Completed
138,453,19,2025-01-27,Active
139,278,6,2026-02-07,Active
140,43,6,2024-02-12,Active
141,58,13,2026-03-18,Completed
142,200,14,2025-05-06,Completed
143,68,14,2025-04-23,Completed
144,49,18,2023-10-12,Completed
145,459,5,2023-11-06,Active
146,142,20,2024-07-18,Active
147,24,16,2026-01-19,Dropped
148,391,1,2025-10-21,Active
149,62,10,2026-04-24,Active
150,421,17,2025-05-12,Active
151,307,12,2023-11-09,Completed
152,297,7,2024-06-15,Active
153,390,9,2024-02-07,Active
154,271,16,2024-11-11,Active
