result_id,exam_id,student_id,marks_obtained,grade,pass_fail
1,1,141,41.62,D,Pass
2,1,393,80.59,A,Pass
3,1,470,95.7,A+,Pass
4,1,90,58.42,D,Pass
5,1,80,75.47,B,Pass
6,1,363,28.52,F,Fail
7,1,261,22.85,F,Fail
8,1,476,36.25,F,Fail
9,1,491,41.14,D,Pass
10,1,195,35.47,F,Fail
11,1,329,45.21,D,Pass
12,1,381,92.7,A+,Pass
13,1,69,53.84,D,Pass
14,1,31,28.68,F,Fail
15,1,300,43.13,D,Pass
16,1,465,48.83,D,Pass
17,1,311,62.51,C,Pass
18,1,400,82.35,A,Pass
19,1,306,69.83,C,Pass
20,1,473,54.69,D,Pass
21,1,134,99.47,A+,Pass
22,1,84,48.79,D,Pass
23,1,144,68.96,C,Pass
24,1,460,60.1,C,Pass
25,1,21,99.32,A+,Pass
26,1,352,73.68,B,Pass
27,1,394,83.34,A,Pass
28,1,42,40.41,D,Pass
29,1,277,57.11,D,Pass
30,1,433,68.16,C,Pass
31,1,238,49.7,D,Pass
32,1,129,87.79,A,Pass
33,1,9,40.67,D,Pass
34,1,155,61.35,C,Pass
35,1,415,69.99,C,Pass
36,1,436,81.92,A,Pass
37,1,326,60.04,C,Pass
38,1,245,79.3,B,Pass
39,1,351,45.4,D,Pass
40,1,466,78.82,B,Pass
41,1,92,86.97,A,Pass
42,1,7,71.04,B,Pass
43,1,33,36.92,F,Fail
44,1,220,83.9,A,Pass
45,1,384,22.97,F,Fail
46,1,96,82.33,A,Pass
47,1,240,76.6,B,Pass
48,1,127,77.47,B,Pass
49,1,15,93.19,A+,Pass
50,1,143,41.54,D,Pass
51,1,419,81.41,A,Pass
52,1,227,55.28,D,Pass
53,1,16,99.35,A+,Pass
54,1,401,75.91,B,Pass
55,1,46,27.94,F,Fail
56,1,355,38.44,F,Fail
57,1,378,30.4,F,Fail
58,1,216,52.01,D,Pass
59,1,200,74.47,B,Pass
60,1,243,43.58,D,Pass
61,1,114,78.19,B,Pass
62,1,471,56.9,D,Pass
63,1,444,57.24,D,Pass
64,1,57,39.49,F,Fail
65,1,285,95.6,A+,Pass
66,1,263,27.11,F,Fail
67,1,464,74.49,B,Pass
68,1,357,27.59,F,Fail
69,1,103,59.16,D,Pass
70,1,296,28.72,F,Fail
71,1,239,57.58,D,Pass
72,1,246,93.24,A+,Pass
73,1,56,59.96,D,Pass
74,1,472,29.66,F,Fail
75,1,124,99.9,A+,Pass
76,1,101,46.52,D,Pass
77,1,50,52.11,D,Pass
78,1,142,47.94,D,Pass
79,1,382,80.32,A,Pass
80,1,323,26.02,F,Fail
81,1,278,45.56,D,Pass
82,1,187,35.49,F,Fail
83,1,198,41.58,D,Pass
84,1,77,68.19,C,Pass
85,1,446,96.41,A+,Pass
86,1,71,95.01,A+,Pass
87,1,123,38.76,F,Fail
88,1,258,56.35,D,Pass
89,1,337,50.16,D,Pass
90,1,281,30.72,F,Fail
91,1,388,59.91,D,Pass
92,1,18,44.01,D,Pass
93,1,87,88.43,A,Pass
94,1,4,47.79,D,Pass
95,1,441,72.34,B,Pass
96,1,128,66.26,C,Pass
97,1,408,47.41,D,Pass
